timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain
2021-06-09 06:28:55.197991,51,47,0,23,25,4.245544951125085,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051693,1,0
2021-06-09 06:28:56.005070,51,47,0,27,21,4.294372892216714,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:56.156434,51,47,0,21,27,4.326754940342267,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:56.169269,51,47,0,27,21,4.294372892216714,3,3,34,16.333333333333332,0,0,49,1,0:00:00.164199,1,0
2021-06-09 06:28:56.208918,51,47,0,21,27,4.326754940342267,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052484,1,0
2021-06-09 06:28:57.066737,51,47,0,27,21,4.336367195159387,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:57.120700,51,47,0,27,21,4.336367195159387,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053963,1,0
2021-06-09 06:28:57.222838,51,47,0,24,24,4.262304813326524,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:57.274895,51,47,0,24,24,4.262304813326524,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052057,1,0
2021-06-09 06:28:58.080129,51,47,0,24,24,4.390384597162592,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:58.133707,51,47,0,24,24,4.390384597162592,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053578,1,0
2021-06-09 06:28:58.235723,51,47,0,31,17,4.321565479430691,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:58.288319,51,47,0,31,17,4.321565479430691,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052596,1,0
2021-06-09 06:28:59.095082,51,47,0,31,17,4.292414745743971,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:59.149834,51,47,0,31,17,4.292414745743971,3,3,34,16.333333333333332,0,0,49,1,0:00:00.054752,1,0
2021-06-09 06:28:59.251600,51,47,0,27,21,4.287539254067758,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:59.303948,51,47,0,27,21,4.287539254067758,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052348,1,0
2021-06-09 06:29:00.111851,51,47,0,25,23,4.390384597162592,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:00.263525,51,47,0,25,23,4.241175960408929,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:00.265975,51,47,0,25,23,4.390384597162592,3,3,34,16.333333333333332,0,0,49,1,0:00:00.154124,1,0
2021-06-09 06:29:00.315816,51,47,0,25,23,4.241175960408929,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052291,1,0
2021-06-09 06:29:01.173397,51,47,0,28,20,4.271917068143643,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:01.324218,51,47,0,27,21,4.358316518272401,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:01.327866,51,47,0,28,20,4.271917068143643,3,3,34,16.333333333333332,0,0,49,1,0:00:00.154469,1,0
2021-06-09 06:29:01.376456,51,47,0,27,21,4.358316518272401,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052238,1,0
2021-06-09 06:29:02.233853,51,47,0,27,21,4.375582881433896,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:02.287108,51,47,0,27,21,4.375582881433896,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053255,1,0
2021-06-09 06:29:02.389120,51,47,0,25,23,4.3640124801440345,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:02.441181,51,47,0,25,23,4.3640124801440345,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052061,1,0
2021-06-09 06:29:03.249034,51,47,0,25,23,4.133141156402519,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:03.400358,51,47,0,29,19,4.233521852064553,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:03.402709,51,47,0,25,23,4.133141156402519,3,3,34,16.333333333333332,0,0,49,1,0:00:00.153675,1,0
2021-06-09 06:29:04.258860,51,47,0,27,21,4.29910965535762,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:04.261922,51,47,0,29,19,4.233521852064553,3,3,34,16.333333333333332,0,0,49,1,0:00:00.861564,1,0
2021-06-09 06:29:04.311176,51,47,0,27,21,4.29910965535762,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052316,1,0
2021-06-09 06:29:04.463337,51,47,0,23,25,4.429600283437102,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:04.516288,51,47,0,23,25,4.429600283437102,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052951,1,0
2021-06-09 06:29:05.323857,51,47,0,29,19,4.3094885771807725,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:05.377165,51,47,0,29,19,4.3094885771807725,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053308,1,0
