"timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain"
"2021-03-30 01:15:00.613045,72,56,0,59,10,4.411001960450153,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:00.889838,72,56,0,59,10,4.411001960450153,3,4,29,17.25,0,0,69,1,0:00:00.276793,1,0"
"2021-03-30 01:15:00.925066,72,56,0,63,6,4.2631998276208645,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:01.114179,72,56,0,63,6,4.2631998276208645,3,4,29,17.25,0,0,69,1,0:00:00.189113,1,0"
"2021-03-30 01:15:01.143710,72,56,0,61,8,4.331344495262519,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:01.328952,72,56,0,61,8,4.331344495262519,3,4,29,17.25,0,0,69,1,0:00:00.185242,1,0"
"2021-03-30 01:15:01.362022,72,56,0,62,7,4.326281606698626,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:01.554405,72,56,0,62,7,4.326281606698626,3,4,29,17.25,0,0,69,1,0:00:00.192383,1,0"
"2021-03-30 01:15:01.581556,72,56,0,58,11,4.449448571151656,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:01.754788,72,56,0,58,11,4.449448571151656,3,4,29,17.25,0,0,69,1,0:00:00.173232,1,0"
"2021-03-30 01:15:01.800474,72,56,0,61,8,4.207962420719075,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:02.018466,72,56,0,61,8,4.207962420719075,3,4,29,17.25,0,0,69,1,0:00:00.217992,1,0"
"2021-03-30 01:15:02.080840,72,56,0,63,6,4.255178613938019,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:02.252984,72,56,0,63,6,4.255178613938019,3,4,29,17.25,0,0,69,1,0:00:00.172144,1,0"
"2021-03-30 01:15:02.299275,72,56,0,63,6,4.333858030631373,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:02.530432,72,56,0,63,6,4.333858030631373,3,4,29,17.25,0,0,69,1,0:00:00.231157,1,0"
"2021-03-30 01:15:02.549664,72,56,0,61,8,4.253432822006452,3,4,29,17.25,0,0,69,1,0,0,0"
